Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Children,Drinker,Smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,8
118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,56
361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27,8
225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,3
260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,3
225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2
361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27,8
118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,2
246,25,16,41,261.306,97,0,1,0,1,0,0,67,170,23,8
225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2
225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1
118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,1
118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,1
155,12,14,34,308.593,95,0,1,2,1,0,0,95,196,25,8
225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2
184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21,2
225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2
225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1
118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2
118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
179,26,9,30,308.593,95,0,3,0,0,0,0,56,171,19,8
289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,8
118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21,2
118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0
225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1
289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,3
184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,1
246,25,16,41,302.585,99,0,1,0,1,0,0,67,170,23,8
179,51,18,38,302.585,99,0,1,0,1,0,0,89,170,31,8
155,12,14,34,302.585,99,0,1,2,1,0,0,95,196,25,2
189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,8
260,50,11,36,302.585,99,0,1,4,1,0,0,65,168,23,2
289,36,13,33,302.585,99,0,1,2,1,0,1,90,172,30,8
388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8
388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8
225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,2
225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,2
179,26,9,30,302.585,99,0,3,0,0,0,0,56,171,19,1
184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,8
225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,3
330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25,8
330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25,1
225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,1
189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,8
291,50,12,32,343.253,95,0,1,0,1,0,0,65,169,23,2
260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,8
157,27,6,29,343.253,95,0,1,0,1,1,0,75,185,22,3
179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,8
291,31,12,40,343.253,95,0,1,1,1,0,1,73,171,25,8
260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,8
179,26,9,30,343.253,95,0,3,0,0,0,0,56,171,19,8
248,25,14,47,343.253,95,0,1,2,0,0,1,86,165,32,3
260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,40
179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,40
155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,16
260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,16
155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,8
289,36,13,33,343.253,95,0,1,2,1,0,1,90,172,30,8
179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,8
260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,4
225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,1
279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24,8
179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31,24
225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,2
225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,8
179,26,9,30,343.253,95,0,3,0,0,0,0,56,171,19,1
225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,8
225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,16
179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31,3
279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24,16
225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,2
248,25,14,47,343.253,95,0,1,2,0,0,1,86,165,32,3
225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,1
291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,1
225,26,9,28,326.452,96,0,1,1,0,0,2,69,169,24,1
155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,1
246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23,24
155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,1
225,26,9,28,326.452,96,0,1,1,0,0,2,69,169,24,2
260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23,4
179,51,18,38,326.452,96,0,1,0,1,0,0,89,170,31,24
118,13,18,50,326.452,96,0,1,1,1,0,0,98,178,31,1
291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,3
246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23,8
291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,1
248,25,14,47,326.452,96,0,1,2,0,0,1,86,165,32,8
260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23,56
289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30,8
155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,24
378,49,11,36,326.452,96,0,1,2,0,1,4,65,174,21,8
289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30,16
235,11,14,37,326.452,96,0,3,1,0,0,1,88,172,29,3
235,29,12,48,326.452,96,1,1,1,0,1,5,88,163,33,0
289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30,8
155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,2
155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,1
179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,8
225,26,9,28,378.884,92,0,1,1,0,0,2,69,169,24,8
184,42,7,27,378.884,92,0,1,0,0,0,0,58,167,21,4
155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,2
179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,1
289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30,24
279,5,14,39,378.884,92,1,1,2,1,1,0,68,168,24,0
330,16,4,28,378.884,92,1,2,0,0,0,0,84,182,25,0
378,49,11,36,378.884,92,1,1,2,0,1,4,65,174,21,0
388,15,9,50,378.884,92,1,1,0,0,0,0,76,178,24,0
179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,1
118,13,18,50,378.884,92,0,1,1,1,0,0,98,178,31,24
361,52,3,28,378.884,92,0,1,1,1,0,4,80,172,27,8
246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8
361,52,3,28,377.55,94,0,1,1,1,0,4,80,172,27,8
246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,24
291,31,12,40,377.55,94,0,1,1,1,0,1,73,171,25,4
246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8
179,51,18,38,377.55,94,0,1,0,1,0,0,89,170,31,8
155,12,14,34,377.55,94,0,1,2,1,0,0,95,196,25,4
246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8
118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,8
235,11,14,37,377.55,94,0,3,1,0,0,1,88,172,29,16
118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,1
118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,80
378,49,11,36,377.55,94,0,1,2,0,1,4,65,174,21,8
179,51,18,38,377.55,94,0,1,0,1,0,0,89,170,31,2
289,48,29,49,377.55,94,0,1,0,0,0,2,108,172,36,2
225,26,9,28,377.55,94,0,1,1,0,0,2,69,169,24,2
155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25,16
118,13,18,50,275.312,98,0,1,1,1,0,0,98,178,31,8
118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28,8
118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28,4
330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8
179,26,9,30,275.312,98,0,3,0,0,0,0,56,171,19,8
155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25,2
330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8
330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8
157,27,6,29,275.312,98,0,1,0,1,1,0,75,185,22,3
361,52,3,28,275.312,98,0,1,1,1,0,4,80,172,27,8
289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,8
179,51,18,38,275.312,98,0,1,0,1,0,0,89,170,31,8
289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,32
289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,8
260,50,11,36,275.312,98,1,1,4,1,0,0,65,168,23,0
289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30,8
157,27,6,29,265.615,94,0,1,0,1,1,0,75,185,22,3
289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30,1
228,14,16,58,265.615,94,0,1,2,0,0,1,65,172,22,8
300,26,13,43,265.615,94,0,1,2,1,1,1,77,175,25,1
300,26,13,43,265.615,94,0,1,2,1,1,1,77,175,25,2
260,50,11,36,265.615,94,0,1,4,1,0,0,65,168,23,4
289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30,4
248,25,14,47,265.615,94,0,1,2,0,0,1,86,165,32,1
268,11,8,33,265.615,94,0,2,0,0,0,0,79,178,25,8
179,26,9,30,265.615,94,0,3,0,0,0,0,56,171,19,1
118,13,18,50,265.615,94,0,1,1,1,0,0,98,178,31,3
248,25,14,47,265.615,94,0,1,2,0,0,1,86,165,32,2
235,11,14,37,265.615,94,0,3,1,0,0,1,88,172,29,1
118,13,18,50,265.615,94,0,1,1,1,0,0,98,178,31,1
235,11,14,37,265.615,94,0,3,1,0,0,1,88,172,29,8
361,52,3,28,265.615,94,0,1,1,1,0,4,80,172,27,8
184,42,7,27,265.615,94,0,1,0,0,0,0,58,167,21,8
179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,8
179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,3
289,36,13,33,294.217,81,0,1,2,1,0,1,90,172,30,24
235,20,13,43,294.217,81,1,1,1,1,0,0,106,167,38,0
246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23,16
291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,3
231,35,14,39,294.217,81,1,1,2,1,0,2,100,170,35,0
291,50,12,32,294.217,81,1,1,0,1,0,0,65,169,23,0
179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,8
246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23,32
179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,1
291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,4
260,50,11,36,294.217,81,0,1,4,1,0,0,65,168,23,4
235,20,13,43,294.217,81,0,1,1,1,0,0,106,167,38,8
118,13,18,50,294.217,81,0,1,1,1,0,0,98,178,31,1
235,20,13,43,294.217,81,1,1,1,1,0,0,106,167,38,0
291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,3
291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,40
179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,8
289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,8
235,11,14,37,265.017,88,0,3,1,0,0,1,88,172,29,4
289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,8
289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,8
118,13,18,50,265.017,88,1,1,1,1,0,0,98,178,31,0
248,25,14,47,265.017,88,1,1,2,0,0,1,86,165,32,0
179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,8
118,10,10,37,265.017,88,0,1,0,0,0,0,83,172,28,3
369,17,12,31,265.017,88,0,1,3,1,0,0,70,169,25,8
179,51,18,38,265.017,88,0,1,0,1,0,0,89,170,31,1
179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,64
235,20,13,43,265.017,88,1,1,1,1,0,0,106,167,38,0
289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,16
260,50,11,36,265.017,88,0,1,4,1,0,0,65,168,23,3
235,20,13,43,265.017,88,1,1,1,1,0,0,106,167,38,0
235,20,13,43,265.017,88,0,1,1,1,0,0,106,167,38,2
235,20,13,43,265.017,88,0,1,1,1,0,0,106,167,38,2
118,13,18,50,265.017,88,0,1,1,1,0,0,98,178,31,1
291,31,12,40,265.017,88,0,1,1,1,0,1,73,171,25,4
179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,16
118,13,18,50,265.017,88,0,1,1,1,0,0,98,178,31,1
361,52,3,28,265.017,88,0,1,1,1,0,4,80,172,27,8
260,50,11,36,265.017,88,1,1,4,1,0,0,65,168,23,0
291,31,12,40,265.017,88,1,1,1,1,0,1,73,171,25,0
157,27,6,29,265.017,88,1,1,0,1,1,0,75,185,22,0
179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,5
179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,5
118,13,18,50,265.017,88,0,1,1,1,0,0,98,178,31,1
118,10,10,37,284.031,97,0,1,0,0,0,0,83,172,28,8
248,25,14,47,284.031,97,0,1,2,0,0,1,86,165,32,2
179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,8
260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23,3
291,31,12,40,284.031,97,0,1,1,1,0,1,73,171,25,1
378,49,11,36,284.031,97,0,1,2,0,1,4,65,174,21,8
155,12,14,34,284.031,97,0,1,2,1,0,0,95,196,25,120
235,20,13,43,284.031,97,0,1,1,1,0,0,106,167,38,8
330,16,4,28,284.031,97,1,2,0,0,0,0,84,182,25,0
235,11,14,37,284.031,97,0,3,1,0,0,1,88,172,29,1
118,10,10,37,284.031,97,0,1,0,0,0,0,83,172,28,3
235,11,14,37,284.031,97,0,3,1,0,0,1,88,172,29,2
179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,3
246,25,16,41,284.031,97,0,1,0,1,0,0,67,170,23,8
291,31,12,40,284.031,97,0,1,1,1,0,1,73,171,25,4
246,25,16,41,284.031,97,0,1,0,1,0,0,67,170,23,8
179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,1
260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23,8
260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23,8
378,49,11,36,284.031,97,1,1,2,0,1,4,65,174,21,0
279,5,14,39,284.031,97,1,1,2,1,1,0,68,168,24,0
179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,1
225,26,9,28,236.629,93,0,1,1,0,0,2,69,169,24,3
179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,2
179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,1
235,11,14,37,236.629,93,0,3,1,0,0,1,88,172,29,3
118,13,18,50,236.629,93,0,1,1,1,0,0,98,178,31,1
260,50,11,36,236.629,93,0,1,4,1,0,0,65,168,23,4
246,25,16,41,236.629,93,0,1,0,1,0,0,67,170,23,8
179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,1
179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,1
179,26,9,30,236.629,93,0,3,0,0,0,0,56,171,19,1
118,10,10,37,236.629,93,0,1,0,0,0,0,83,172,28,8
235,11,14,37,236.629,93,0,3,1,0,0,1,88,172,29,2
179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,1
235,20,13,43,236.629,93,0,1,1,1,0,0,106,167,38,8
235,11,14,37,236.629,93,0,3,1,0,0,1,88,172,29,4
260,50,11,36,236.629,93,0,1,4,1,0,0,65,168,23,8
157,27,6,29,236.629,93,0,1,0,1,1,0,75,185,22,2
179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,3
289,36,13,33,236.629,93,0,1,2,1,0,1,90,172,30,8
225,26,9,28,330.061,100,0,1,1,0,0,2,69,169,24,5
118,10,10,37,330.061,100,0,1,0,0,0,0,83,172,28,32
155,12,14,34,330.061,100,0,1,2,1,0,0,95,196,25,2
235,11,14,37,330.061,100,0,3,1,0,0,1,88,172,29,1
155,12,14,34,330.061,100,0,1,2,1,0,0,95,196,25,4
289,36,13,33,330.061,100,0,1,2,1,0,1,90,172,30,8
291,31,12,40,330.061,100,0,1,1,1,0,1,73,171,25,8
235,20,13,43,330.061,100,0,1,1,1,0,0,106,167,38,8
118,13,18,50,330.061,100,0,1,1,1,0,0,98,178,31,4
179,51,18,38,330.061,100,0,1,0,1,0,0,89,170,31,1
179,51,18,38,330.061,100,0,1,0,1,0,0,89,170,31,1
118,10,10,37,251.818,96,0,1,0,0,0,0,83,172,28,2
179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,3
225,26,9,28,251.818,96,0,1,1,0,0,2,69,169,24,1
289,36,13,33,251.818,96,0,1,2,1,0,1,90,172,30,3
260,50,11,36,251.818,96,0,1,4,1,0,0,65,168,23,3
179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,3
179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,2
179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,3
179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,8
246,25,16,41,251.818,96,0,1,0,1,0,0,67,170,23,8
179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,3
189,29,13,33,251.818,96,0,1,2,0,0,2,69,167,25,8
179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,3
246,25,16,41,251.818,96,0,1,0,1,0,0,67,170,23,2
291,31,12,40,251.818,96,0,1,1,1,0,1,73,171,25,2
157,27,6,29,251.818,96,0,1,0,1,1,0,75,185,22,16
179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,3
179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,3
246,25,16,41,251.818,96,0,1,0,1,0,0,67,170,23,24
179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,3
179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,3
118,10,10,37,244.387,98,0,1,0,0,0,0,83,172,28,8
246,25,16,41,244.387,98,0,1,0,1,0,0,67,170,23,16
246,25,16,41,244.387,98,0,1,0,1,0,0,67,170,23,2
260,50,11,36,244.387,98,0,1,4,1,0,0,65,168,23,4
179,51,18,38,244.387,98,0,1,0,1,0,0,89,170,31,2
235,11,14,37,244.387,98,0,3,1,0,0,1,88,172,29,8
179,22,17,40,244.387,98,0,2,2,0,1,0,63,170,22,8
378,49,11,36,244.387,98,0,1,2,0,1,4,65,174,21,8
179,51,18,38,244.387,98,0,1,0,1,0,0,89,170,31,16
361,52,3,28,244.387,98,0,1,1,1,0,4,80,172,27,8
369,17,12,31,244.387,98,1,1,3,1,0,0,70,169,25,0
235,11,14,37,244.387,98,0,3,1,0,0,1,88,172,29,8
118,13,18,50,244.387,98,0,1,1,1,0,0,98,178,31,2
118,13,18,50,244.387,98,0,1,1,1,0,0,98,178,31,3
118,13,18,50,244.387,98,0,1,1,1,0,0,98,178,31,8
235,11,14,37,244.387,98,1,3,1,0,0,1,88,172,29,0
